Name		Red	Green	Blue	HEX
grey40	102	102	102	#666666
grey41	105	105	105	#696969
grey42	107	107	107	#6B6B6B
grey43	110	110	110	#6E6E6E
grey44	112	112	112	#707070
grey45	115	115	115	#737373
grey46	117	117	117	#757575
grey47	120	120	120	#787878
grey48	122	122	122	#7A7A7A
grey49	125	125	125	#7D7D7D
grey50	127	127	127	#7F7F7F
grey51	130	130	130	#828282
grey52	133	133	133	#858585
grey53	135	135	135	#878787
grey54	138	138	138	#8A8A8A
grey55	140	140	140	#8C8C8C
grey56	143	143	143	#8F8F8F
grey57	145	145	145	#919191
grey58	148	148	148	#949494
grey59	150	150	150	#969696
grey60	153	153	153	#999999
grey61	156	156	156	#9C9C9C
grey62	158	158	158	#9E9E9E
grey63	161	161	161	#A1A1A1
grey64	163	163	163	#A3A3A3
grey65	166	166	166	#A6A6A6
grey66	168	168	168	#A8A8A8
grey67	171	171	171	#ABABAB
grey68	173	173	173	#ADADAD
grey69	176	176	176	#B0B0B0
grey70	179	179	179	#B3B3B3
grey71	181	181	181	#B5B5B5
grey72	184	184	184	#B8B8B8
grey73	186	186	186	#BABABA
grey74	189	189	189	#BDBDBD
grey75	191	191	191	#BFBFBF
grey76	194	194	194	#C2C2C2
grey77	196	196	196	#C4C4C4
grey78	199	199	199	#C7C7C7
grey79	201	201	201	#C9C9C9
grey80	204	204	204	#CCCCCC
grey81	207	207	207	#CFCFCF
grey82	209	209	209	#D1D1D1
grey83	212	212	212	#D4D4D4
grey84	214	214	214	#D6D6D6
grey85	217	217	217	#D9D9D9
grey86	219	219	219	#DBDBDB
grey87	222	222	222	#DEDEDE
grey88	224	224	224	#E0E0E0
grey89	227	227	227	#E3E3E3
grey90	229	229	229	#E5E5E5
grey91	232	232	232	#E8E8E8
grey92	235	235	235	#EBEBEB
grey93	237	237	237	#EDEDED
grey94	240	240	240	#F0F0F0
grey95	242	242	242	#F2F2F2
grey96	245	245	245	#F5F5F5
grey97	247	247	247	#F7F7F7
grey98	250	250	250	#FAFAFA
grey99	252	252	252	#FCFCFC
grey100	255	255	255	#FFFFFF
honeydew	240	255	240	#F0F0FF
honeydew1	240	255	240	#F0F0FF
honeydew2	224	238	224	#E0E0EE
honeydew3	193	205	193	#C1C1CD
honeydew4	131	139	131	#83838B
hot pink	255	105	180	#FFFF69
HotPink	255	105	180	#FFFF69
HotPink1	255	110	180	#FFFF6E
HotPink2	238	106	167	#EEEE6A
HotPink3	205	96	144	#CDCD60
HotPink4	139	58	98	#8B8B3A
indian red	205	92	92	#CDCD5C
IndianRed	205	92	92	#CDCD5C
IndianRed1	255	106	106	#FFFF6A
IndianRed2	238	99	99	#EEEE63
IndianRed3	205	85	85	#CDCD55
IndianRed4	139	58	58	#8B8B3A
indigo	75	0	130	#4B4B00
ivory	255	255	240	#FFFFFF
ivory1	255	255	240	#FFFFFF
ivory2	238	238	224	#EEEEEE
ivory3	205	205	193	#CDCDCD
ivory4	139	139	131	#8B8B8B
khaki	240	230	140	#F0F0E6
khaki1	255	246	143	#FFFFF6
khaki2	238	230	133	#EEEEE6
khaki3	205	198	115	#CDCDC6
khaki4	139	134	78	#8B8B86
lavender	230	230	250	#E6E6E6
lavender blush	255	240	245	#FFFFF0
LavenderBlush	255	240	245	#FFFFF0
LavenderBlush1	255	240	245	#FFFFF0
LavenderBlush2	238	224	229	#EEEEE0
LavenderBlush3	205	193	197	#CDCDC1
LavenderBlush4	139	131	134	#8B8B83
lawn green	124	252	0	#7C7CFC
LawnGreen	124	252	0	#7C7CFC
lemon chiffon	255	250	205	#FFFFFA
LemonChiffon	255	250	205	#FFFFFA
LemonChiffon1	255	250	205	#FFFFFA
LemonChiffon2	238	233	191	#EEEEE9
LemonChiffon3	205	201	165	#CDCDC9
LemonChiffon4	139	137	112	#8B8B89
light blue	173	216	230	#ADADD8
light coral	240	128	128	#F0F080
light cyan	224	255	255	#E0E0FF
light goldenrod	238	221	130	#EEEEDD
light goldenrod yellow	250	250	210	#FAFAFA
light gray	211	211	211	#D3D3D3
light green	144	238	144	#9090EE
light grey	211	211	211	#D3D3D3
light pink	255	182	193	#FFFFB6
light salmon	255	160	122	#FFFFA0
light sea green	32	178	170	#2020B2
light sky blue	135	206	250	#8787CE
light slate blue	132	112	255	#848470
light slate gray	119	136	153	#777788
light slate grey	119	136	153	#777788
light steel blue	176	196	222	#B0B0C4
light yellow	255	255	224	#FFFFFF
LightBlue	173	216	230	#ADADD8
LightBlue1	191	239	255	#BFBFEF
LightBlue2	178	223	238	#B2B2DF
LightBlue3	154	192	205	#9A9AC0
LightBlue4	104	131	139	#686883
LightCoral	240	128	128	#F0F080
LightCyan	224	255	255	#E0E0FF
LightCyan1	224	255	255	#E0E0FF
LightCyan2	209	238	238	#D1D1EE
LightCyan3	180	205	205	#B4B4CD
LightCyan4	122	139	139	#7A7A8B
LightGoldenrod	238	221	130	#EEEEDD
LightGoldenrod1	255	236	139	#FFFFEC
LightGoldenrod2	238	220	130	#EEEEDC
LightGoldenrod3	205	190	112	#CDCDBE
LightGoldenrod4	139	129	76	#8B8B81
LightGoldenrodYellow	250	250	210	#FAFAFA
LightGray	211	211	211	#D3D3D3
LightGreen	144	238	144	#9090EE
LightGrey	211	211	211	#D3D3D3
LightPink	255	182	193	#FFFFB6
LightPink1	255	174	185	#FFFFAE
LightPink2	238	162	173	#EEEEA2
LightPink3	205	140	149	#CDCD8C
LightPink4	139	95	101	#8B8B5F
LightSalmon	255	160	122	#FFFFA0
LightSalmon1	255	160	122	#FFFFA0
LightSalmon2	238	149	114	#EEEE95
LightSalmon3	205	129	98	#CDCD81
LightSalmon4	139	87	66	#8B8B57
LightSeaGreen	32	178	170	#2020B2
LightSkyBlue	135	206	250	#8787CE
LightSkyBlue1	176	226	255	#B0B0E2
LightSkyBlue2	164	211	238	#A4A4D3
LightSkyBlue3	141	182	205	#8D8DB6
LightSkyBlue4	96	123	139	#60607B
LightSlateBlue	132	112	255	#848470
LightSlateGray	119	136	153	#777788
LightSlateGrey	119	136	153	#777788
LightSteelBlue	176	196	222	#B0B0C4
LightSteelBlue1	202	225	255	#CACAE1
LightSteelBlue2	188	210	238	#BCBCD2
LightSteelBlue3	162	181	205	#A2A2B5
LightSteelBlue4	110	123	139	#6E6E7B
LightYellow	255	255	224	#FFFFFF
LightYellow1	255	255	224	#FFFFFF
LightYellow2	238	238	209	#EEEEEE
LightYellow3	205	205	180	#CDCDCD
LightYellow4	139	139	122	#8B8B8B
lime	0	255	0	#0000FF
lime green	50	205	50	#3232CD
LimeGreen	50	205	50	#3232CD
linen	250	240	230	#FAFAF0
magenta	255	0	255	#FFFF00
magenta1	255	0	255	#FFFF00
magenta2	238	0	238	#EEEE00
magenta3	205	0	205	#CDCD00
magenta4	139	0	139	#8B8B00
maroon	128	0	0	#808000
maroon1	255	52	179	#FFFF34
maroon2	238	48	167	#EEEE30
maroon3	205	41	144	#CDCD29
maroon4	139	28	98	#8B8B1C
medium aquamarine	102	205	170	#6666CD
medium blue	0	0	205	#000000
medium orchid	186	85	211	#BABA55
medium purple	147	112	219	#939370
medium sea green	60	179	113	#3C3CB3
medium slate blue	123	104	238	#7B7B68
medium spring green	0	250	154	#0000FA
medium turquoise	72	209	204	#4848D1
medium violet red	199	21	133	#C7C715
MediumAquamarine	102	205	170	#6666CD
MediumBlue	0	0	205	#000000
MediumOrchid	186	85	211	#BABA55
MediumOrchid1	224	102	255	#E0E066
MediumOrchid2	209	95	238	#D1D15F
MediumOrchid3	180	82	205	#B4B452
MediumOrchid4	122	55	139	#7A7A37
MediumPurple	147	112	219	#939370
MediumPurple1	171	130	255	#ABAB82
MediumPurple2	159	121	238	#9F9F79
MediumPurple3	137	104	205	#898968
MediumPurple4	93	71	139	#5D5D47
MediumSeaGreen	60	179	113	#3C3CB3
MediumSlateBlue	123	104	238	#7B7B68
MediumSpringGreen	0	250	154	#0000FA
MediumTurquoise	72	209	204	#4848D1
MediumVioletRed	199	21	133	#C7C715
midnight blue	25	25	112	#191919
MidnightBlue	25	25	112	#191919
mint cream	245	255	250	#F5F5FF
MintCream	245	255	250	#F5F5FF
misty rose	255	228	225	#FFFFE4
MistyRose	255	228	225	#FFFFE4
MistyRose1	255	228	225	#FFFFE4
MistyRose2	238	213	210	#EEEED5
MistyRose3	205	183	181	#CDCDB7
